ID_JOURNAL_COMPTABLE;CODE_JOURNAL_COMPTABLE;LIB_RED_JOURNAL_COMPTABLE;LIB_JOURNAL_COMPTABLE;INDIC_REPORT_A_NOUVEAU;CODE_SOCIETE;
HLM ODE;ODE;VenteONV  ;Vente solde à ONV       ;NULL;N/A;
ONV ODE;ODE;VenteONV  ;Vente à ONV             ;NULL;ONV;
V90 ODE;ODE;VenteONV  ;Vente à ONV             ;NULL;V90;
HLM RAD;RAD;RAN DMX   ;REPRISE RAN DOMAXIS     ;NULL;N/A;
V90 RAD;RAD;RAN DMX   ;REPRISE RAN DOMAXIS     ;NULL;V90;
ONV ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;ONV;
ONV REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;ONV;
HLM ODH;ODH;AchatSlV90;Achat solde CA à V90    ;NULL;N/A;
HLM OAP;OAP;APL ONV   ;APL ONV                 ;NULL;N/A;
ONV OAP;OAP;APL ONV   ;APL ONV                 ;NULL;ONV;
ADL ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;ADL;
FOY ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;N/A;
INT ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;N/A;
SES ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;SES;
ADL RAB;RAB;RAN REP   ;RAN REPRISE ADLIS       ;NULL;ADL;
INT RAB;RAB;RAN REP   ;RAN REPRISE ADLIS       ;NULL;N/A;
HLM ODK;ODK;CorEcrFOY ;Correct° écritures FOY  ;NULL;N/A;
V90 ODK;ODK;CorEcrFOY ;Correct° écritures FOY  ;NULL;V90;
SES RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;SES;
V90 RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;V90;
SEA RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;SEA;
HLM BC8;BC8;ARKEA DIV ;ARKEA DIV 52672504144   ;NULL;N/A;
V90 BC8;BC8;ARKEA DIV ;ARKEA DIV 52672504144   ;NULL;V90;
HLM ON2;ON2;BQ ONV BP ;BANQUE ONV BP           ;NULL;N/A;
ONV ON2;ON2;BQ ONV BP ;BANQUE ONV BP           ;NULL;ONV;
ACC ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
ADL ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;ADL;
INT ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
SEA ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;SEA;
HLM OVA;OVA;OD ONV    ;OD ONV VACANCE          ;NULL;N/A;
ONV OVA;OVA;OD ONV VAC;OD ONV VACANCE          ;NULL;ONV;
FOY FBD;FBD;LBP DIV   ;LBP DIVID 4233959K020   ;NULL;N/A;
SES FBD;FBD;LBP DIV   ;LBP DIVID 4233959K020   ;NULL;SES;
SEM APL;APL;APL/AL    ;APL/AL                  ;NULL;SEM;
HLM TC4;TC4;BQ 8F0213 ;BANQUE POSTALE 8F0213   ;NULL;N/A;
V90 TC4;TC4;BQ 8F0213 ;BANQUE POSTALE 8F0213   ;NULL;V90;
ACC M10;M10;CA 4955256;CREDIT AGRICOLE 49552565;NULL;N/A;
SEA M10;M10;CA 4955256;CREDIT AGRICOLE 49552565;NULL;SEA;
SES PAP;PAP;PAP       ;POSTE A POSTE           ;NULL;SES;
V90 PAP;PAP;PAP       ;POSTE A POSTE           ;NULL;V90;
SEM RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;SEM;
ART A01;A01;BRED      ;BRED PARIS 752632665    ;NULL;ART;
ART ACH;ACH;ACHATS    ;ACHATS                  ;NULL;ART;
ART ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;ART;
ART BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;ART;
ART FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;ART;
ART LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;ART;
ART ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;ART;
ART ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;ART;
ART ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;ART;
ART ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;ART;
ART RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;ART;
ART REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;ART;
ART WIM;WIM;WIM       ;Interface WIM           ;NULL;ART;
CHA ACH;ACH;ACHATS    ;ACHATS                  ;NULL;CHA;
CHA ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;CHA;
CHA BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;CHA;
CHA C01;C01;BRED      ;BRED 4180 3554 979      ;NULL;CHA;
CHA C02;C02;ARKEA     ;ARKEA 8819 1634 048     ;NULL;CHA;
CHA C03;C03;CE IDF    ;CE IDF 9707 835         ;NULL;CHA;
CHA C04;C04;ARKEA     ;ARKEA 16301 68          ;NULL;CHA;
CHA FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;CHA;
CHA LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;CHA;
HLM LA3;LA3;C.A LIVRET;C.A LIVRET HABITAT SOCIA;NULL;N/A;
V90 LA3;LA3;C.A LIVRET;C.A LIVRET HABITAT SOCIA;NULL;V90;
CHA ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;CHA;
CHA ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;CHA;
CHA ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;CHA;
CHA ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;CHA;
CHA RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;CHA;
CHA REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;CHA;
CHA WIM;WIM;WIM       ;Interface WIM           ;NULL;CHA;
LOG ACH;ACH;ACHATS    ;ACHATS                  ;NULL;LOG;
LOG ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;LOG;
LOG BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;LOG;
LOG FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;LOG;
LOG LE1;LE1;BRED      ;BRED 9101 8366 021      ;NULL;LOG;
LOG LE2;LE2;LIVRET A  ;LIVRET A 00416420 BRED  ;NULL;LOG;
LOG LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;LOG;
LOG MIG;MIG;RepMigr   ;Reprise Migration       ;NULL;LOG;
LOG ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;LOG;
LOG ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;LOG;
LOG ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;LOG;
LOG ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;LOG;
LOG RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;LOG;
CHA ODR;ODR;REP OD    ;REPRISE OD QUALIAC      ;NULL;CHA;
