CODE_TYPE_ECRITURE_COMPTABLE;LIB_TYPE_ECR_COMPTABLE;CODE_INDIC_TYPE_ECR_CPT_GEN;LIB_INDIC_TYPE_ECR_CPT_GEN
ANA;ECRITURE ANALYTIQUE     ;E;ECRITURE EXTRA COMPTABLE
BUD;ECRITURE BUDGETAIRE     ;E;ECRITURE EXTRA COMPTABLE
COR;CORRECTIF HP / ECRITURES;C;ECRITURE COMPTABLE
EBU;EBU Ecriture budgétaire ;E;ECRITURE EXTRA COMPTABLE
EC3;ECRITURE COMPTABLE 2003 ;C;ECRITURE COMPTABLE
ECA;ECA Ecr. CAP provisoires;C;ECRITURE COMPTABLE
ECT;ECT ECRITURE COMPTABLE  ;C;ECRITURE COMPTABLE
ENA;ENA Ecriture Analytique ;E;ECRITURE EXTRA COMPTABLE
FCT;FCT Facturation client  ;C;ECRITURE COMPTABLE
FDS;VIREMENT DE FONDS       ;C;ECRITURE COMPTABLE
FFO;FFO FACTURES FOURNISSEUR;C;ECRITURE COMPTABLE
ICE;ECRITURE ICNE - POT     ;C;ECRITURE COMPTABLE
POT;ECRITURE LASM - POT     ;C;ECRITURE COMPTABLE
PRO;ECRITURES PROVISOIRES   ;P;INCONNU
PRP;ECRITURE PROVISOIRE     ;P;INCONNU
RAN;RAN Report a nouveau    ;C;ECRITURE COMPTABLE
RFO;RFO REGLEMT FOURNISSEURS;C;ECRITURE COMPTABLE
RSY;RSY REGLT SYNDIC        ;C;ECRITURE COMPTABLE
