ID_TYPE_PRESTATION;CODE_TYPE_PRESTATION;LIB_TYPE_PRESTATION;CODE_CATEGORIE;LIB_CATEGORIE;
???;???;INCONNU;???;INCONNU;
CDE AC1;AC1;RH Santé sécurité       ;CDE;Commande;
CDE ACS;ACS;RH Accompagnement Social;CDE;Commande;
CDE ADM;ADM;Cdes Service M-Généraux ;CDE;Commande;
CDE ANN;ANN;Annonce et insertions   ;CDE;Commande;
CDE ANR;ANR;ANRU et PMR             ;CDE;Commande;
CDE ARC;ARC;MGEN Archives           ;CDE;Commande;
CDE AS7;AS7;GRD-Ascenseurs          ;CDE;Commande;
CDE AS8;AS8;G-Ascenceurs            ;CDE;Commande;
CDE AS9;AS9;9-Ascenseurs            ;CDE;Commande;
CDE ASC;ASC;*Ascenceurs             ;CDE;Commande;
CDE ASS;ASS;Assurances              ;CDE;Commande;
CDE BCS;BCS;RH Budget Ctrl Sociale  ;CDE;Commande;
CDE CAT;CAT;CDE CATALOGUE ET IMPRESS;CDE;Commande;
CDE CEL;CEL;RH : Contrôle Electrique;CDE;Commande;
CDE CES;CES;Dir Engt Sociétal Innov ;CDE;Commande;
CDE CEX;CEX;Cde Opération Except    ;CDE;Commande;
CDE CH7;CH7;GRD-Chauff COLL/IND     ;CDE;Commande;
CDE CH8;CH8;G-Chauffage COLL/IND    ;CDE;Commande;
CDE CH9;CH9;9-Chauffage COLL/IND    ;CDE;Commande;
CDE CHA;CHA;TRAVAUX HANDYCAP PMR    ;CDE;Commande;
CDE CI9;CI9;*9-Cdes Investissement  ;CDE;Commande;
CDE CIV;CIV;DMO: Cd Invest sans WF  ;CDE;Commande;
CDE CM1;CM1;Bureau Controle Compos  ;CDE;Commande;
CDE CMA;CMA;Commande sur Marché     ;CDE;Commande;
CDE CMP;CMP;Composant               ;CDE;Commande;
CDE CO1;CO1;Cde Communication       ;CDE;Commande;
CDE COM;COM;INTERDIT 2006 Cde Compo ;CDE;Commande;
CDE COP;COP;Copropriété             ;CDE;Commande;
CDE COT;COT;MGEN Cotisation/Redevanc;CDE;Commande;
CDE COU;COU;MGEN Coursiers          ;CDE;Commande;
CDE CRT;CRT;GRD- Chartes Qualités   ;CDE;Commande;
CDE CTF;CTF;Cde Taxe Fonciere       ;CDE;Commande;
CDE CTX;CTX;CONTENTIEUX             ;CDE;Commande;
CDE CX1;CX1;Contentieux Locataire   ;CDE;Commande;
CDE CX2;CX2;Cde Expulsion (Déménagt);CDE;Commande;
CDE DA1;DA1;DAM aménagement Concess ;CDE;Commande;
CDE DAC;DAC;Direction des achats    ;CDE;Commande;
CDE DAM;DAM;DAM : cde investissement;CDE;Commande;
CDE DCA;DCA;Conformité et Audit     ;CDE;Commande;
CDE DCH;DCH;DSI Frais engagé/charges;CDE;Commande;
CDE DCL;DCL;Direction Clientèle     ;CDE;Commande;
CDE DD1;DD1;Cde Direction Déléguée  ;CDE;Commande;
CDE DDO;DDO;Direction des données   ;CDE;Commande;
CDE DE1;DE1;Missions et Réceptions  ;CDE;Commande;
CDE DEM;DEM;DEMOLITION              ;CDE;Commande;
CDE DES;DES;MGEN Déménagement DD/SIE;CDE;Commande;
CDE DF1;DF1;Direction Financière    ;CDE;Commande;
CDE DFI;DFI;DFIN : Cde Honoraires   ;CDE;Commande;
CDE DG1;DG1;DGE Frais de réception  ;CDE;Commande;
CDE DGE;DGE;Dégats des eaux         ;CDE;Commande;
CDE DGI;DGI;Dir Investis Immobilier ;CDE;Commande;
CDE DGN;DGN;Direction Générale      ;CDE;Commande;
CDE DI1;DI1;DP : cde d'investiss.   ;CDE;Commande;
CDE DI2;DI2;DP cdes Concess-trésor  ;CDE;Commande;
CDE DI3;DI3;DP: Cde Honoraire       ;CDE;Commande;
CDE DI4;DI4;DP : Cde fonctionnement ;CDE;Commande;
CDE DIA;DIA;Commande Avant Vente    ;CDE;Commande;
CDE DIC;DIC;DP : Cde Copro Synd     ;CDE;Commande;
CDE DIN;DIN;DSI Frais engagé/invest.;CDE;Commande;
CDE DIV;DIV;DMO : cde d'investiss.  ;CDE;Commande;
CDE DJU;DJU;Direction Juridique     ;CDE;Commande;
CDE DM1;DM1;DMO Cdes Concess-Trésor ;CDE;Commande;
CDE DM2;DM2;DMO Cde Frais APL       ;CDE;Commande;
CDE DM3;DM3;DMO Amenagement SIEG DD ;CDE;Commande;
CDE DM4;DM4;DAM/DVLP Cde Honoraires ;CDE;Commande;
CDE DM5;DM5;DGPRO : Cde Honoraire   ;CDE;Commande;
CDE DM6;DM6;Cde Dévelop foncier Inv ;CDE;Commande;
CDE DMO;DMO;DMO: Cde investissement ;CDE;Commande;
CDE DO1;DO1;Dommage Ouvrage         ;CDE;Commande;
CDE DPT;DPT;Direction Patrimoine    ;CDE;Commande;
CDE DSI;DSI;Cde DSI                 ;CDE;Commande;
CDE DT1;DT1;DTPI : Frais annexes POT;CDE;Commande;
CDE DT2;DT2;DTPI : Frais Ponctuels  ;CDE;Commande;
CDE DTO;DTO;Dir Transfo et Org      ;CDE;Commande;
CDE E01;E01;Annonces                ;CDE;Commande;
CDE E02;E02;Chauffage               ;CDE;Commande;
CDE E03;E03;Copro et ASL            ;CDE;Commande;
CDE E04;E04;Assurances              ;CDE;Commande;
CDE E05;E05;EC patrimoine           ;CDE;Commande;
CDE E06;E06;Espaces verts           ;CDE;Commande;
CDE E07;E07;Frais d'actes           ;CDE;Commande;
CDE E08;E08;Gros entretien          ;CDE;Commande;
CDE E09;E09;Honoraires              ;CDE;Commande;
CDE E10;E10;Hygiène et Securité     ;CDE;Commande;
CDE E11;E11;Locations parkings      ;CDE;Commande;
CDE E12;E12;Nettoyage entr. commun  ;CDE;Commande;
CDE E13;E13;Sinistres               ;CDE;Commande;
CDE E14;E14;Dommage ouvrage         ;CDE;Commande;
CDE E15;E15;EC pour Vente           ;CDE;Commande;
CDE ECG;ECG;Gardien Entretien Couran;CDE;Commande;
CDE EDT;EDT;RH Equipement de travail;CDE;Commande;
CDE EN1;EN1;MGEN Entretien loc Admin;CDE;Commande;
CDE EN2;EN2;Bureau controle GE      ;CDE;Commande;
CDE ENC;ENC;Entretien courant       ;CDE;Commande;
CDE ENP;ENP;Entretien courant PP    ;CDE;Commande;
CDE ENT;ENT;Gros Entretien          ;CDE;Commande;
CDE EP9;EP9;9-Espace d'acceuil&PIM  ;CDE;Commande;
CDE EPA;EPA;* Esp d'accueil et PIM  ;CDE;Commande;
CDE ES7;ES7;GRD-espaces verts       ;CDE;Commande;
CDE ES8;ES8;G-Espaces Verts         ;CDE;Commande;
CDE ES9;ES9;9-Espaces verts         ;CDE;Commande;
CDE ESV;ESV;* Espaces verts         ;CDE;Commande;
CDE EXP;EXP;Commande d'Entretien    ;CDE;Commande;
CDE F01;F01;Informatique            ;CDE;Commande;
CDE F02;F02;Affranchissement        ;CDE;Commande;
CDE F03;F03;Annonces                ;CDE;Commande;
CDE F04;F04;Assurances              ;CDE;Commande;
CDE F05;F05;Cadeaux                 ;CDE;Commande;
CDE F06;F06;Catalogues et imprimés  ;CDE;Commande;
CDE F07;F07;Sous traitance          ;CDE;Commande;
CDE F09;F09;Cotisations             ;CDE;Commande;
CDE F10;F10;Déménagement            ;CDE;Commande;
CDE F11;F11;DMR                     ;CDE;Commande;
CDE F12;F12;Documentations          ;CDE;Commande;
CDE F13;F13;Dons Mécénat            ;CDE;Commande;
CDE F14;F14;Charges loc siège social;CDE;Commande;
CDE F16;F16;Formation               ;CDE;Commande;
CDE F17;F17;Fournitures équipement  ;CDE;Commande;
CDE F18;F18;Frais d'actes           ;CDE;Commande;
CDE F20;F20;Honoraires              ;CDE;Commande;
CDE F21;F21;Installations Agencement;CDE;Commande;
CDE F22;F22;Intérim                 ;CDE;Commande;
CDE F24;F24;Materiel Bureau         ;CDE;Commande;
CDE F26;F26;Materiel et Outillage   ;CDE;Commande;
CDE F27;F27;Mobilier                ;CDE;Commande;
CDE F28;F28;Véhicule                ;CDE;Commande;
CDE F29;F29;RH                      ;CDE;Commande;
CDE F31;F31;Télécommunication       ;CDE;Commande;
CDE F33;F33;Droits d'Enregistrement ;CDE;Commande;
CDE F34;F34;Autres Impôts et Taxes  ;CDE;Commande;
CDE FCT;FCT;Fonctionnement          ;CDE;Commande;
CDE FDM;FDM;Frais de déménagement   ;CDE;Commande;
CDE FNB;FNB;Fournitures Bureau      ;CDE;Commande;
CDE FNI;FNI;Fournitures Informatique;CDE;Commande;
CDE FO9;FO9;9-Fournitures           ;CDE;Commande;
CDE FOR;FOR;RH Formation            ;CDE;Commande;
CDE FOU;FOU;CDE FOURNITURES         ;CDE;Commande;
CDE FR1;FR1;GRD Fournitures Immeuble;CDE;Commande;
CDE FR2;FR2;Invest : Autres frais   ;CDE;Commande;
CDE FRA;FRA;Fournitures Administrat ;CDE;Commande;
CDE FRE;FRE;RH Recrutement          ;CDE;Commande;
CDE FRN;FRN;Fournitures Immeubles   ;CDE;Commande;
CDE GAG;GAG;Visites / EDL           ;CDE;Commande;
CDE GE ;GE ;Commande GE non provisio;CDE;Commande;
CDE GE9;GE9;9-Commande GE/GR        ;CDE;Commande;
CDE GER;GER;Commande GE/GR          ;CDE;Commande;
CDE GPR;GPR;DGPRO :Commande Invest  ;CDE;Commande;
CDE GSI;GSI;Gros Sinistre           ;CDE;Commande;
CDE GSP;GSP;Gros Sinistre Pot       ;CDE;Commande;
CDE HO1;HO1;DMO/DVLP HONORAIRES     ;CDE;Commande;
CDE HO2;HO2;Cde Dévelop foncier hon ;CDE;Commande;
CDE HO3;HO3;Honoraires Exploitation ;CDE;Commande;
CDE HO9;HO9;9-Honoraires            ;CDE;Commande;
CDE HON;HON;Honoraires fonctionnemt ;CDE;Commande;
CDE HY7;HY7;GRD-Hygiène             ;CDE;Commande;
CDE HY8;HY8;G-Hygiène               ;CDE;Commande;
CDE HY9;HY9;9-Hygiène               ;CDE;Commande;
CDE HYG;HYG;* Hygiène et sécurité   ;CDE;Commande;
CDE I01;I01;Divers GOP              ;CDE;Commande;
CDE I02;I02;Reprise divers GOP      ;CDE;Commande;
CDE I04;I04;Honoraires              ;CDE;Commande;
CDE I05;I05;Reprise Honoraires      ;CDE;Commande;
CDE I10;I10;Renouvt Comp.Structure  ;CDE;Commande;
CDE I11;I11;Renouvt comp.Menuis.Ext ;CDE;Commande;
CDE I12;I12;Renouvt comp.Chauf.Ind  ;CDE;Commande;
CDE I13;I13;Renouvt comp.Etanchéité ;CDE;Commande;
CDE I14;I14;Renouvt Comp.Raval.Amél ;CDE;Commande;
CDE I15;I15;Renouvt Comp.Ascenseurs ;CDE;Commande;
CDE IFO;IFO;INFORMATIQUE EXPLOIT    ;CDE;Commande;
CDE IFR;IFR;Cde immo composant      ;CDE;Commande;
CDE IMP;IMP;Impôts et Taxes         ;CDE;Commande;
CDE IN1;IN1;SRC Intérim             ;CDE;Commande;
CDE INC;INC;SIN INCEND BATI ATTEINT ;CDE;Commande;
CDE INF;INF;SIN INCEND BATI NON ATTE;CDE;Commande;
CDE INT;INT;RH Interim              ;CDE;Commande;
CDE INV;INV;Commande Investissement ;CDE;Commande;
CDE IVT;IVT;Investissement          ;CDE;Commande;
CDE LAS;LAS;INTERDIT LAS 19;6;CDE;Commande
CDE LCM;LCM;Location Mobilière      ;CDE;Commande;
CDE LMO;LMO;* Location              ;CDE;Commande;
CDE LO7;LO7;GRD - Location          ;CDE;Commande;
CDE LO8;LO8;G-Location              ;CDE;Commande;
CDE LO9;LO9;9-Location              ;CDE;Commande;
CDE MAI;MAI;CDE MAINTENANCE INFO    ;CDE;Commande;
CDE MAT;MAT;CDE MAT ET LOG INFORMAT ;CDE;Commande;
CDE MDT;MDT;RH Médecine du travail  ;CDE;Commande;
CDE OPE;OPE;Opération de relogement ;CDE;Commande;
CDE PC7;PC7;GRD-PC intérieures      ;CDE;Commande;
CDE PC8;PC8;G-PC intérieures        ;CDE;Commande;
CDE PC9;PC9;9-PC intérieures        ;CDE;Commande;
CDE PCE;PCE;* PC intérieures        ;CDE;Commande;
CDE PE7;PE7;GRD-PC extérieures      ;CDE;Commande;
CDE PE8;PE8;G-PC extérieures        ;CDE;Commande;
CDE PE9;PE9;9-PC extérieures        ;CDE;Commande;
CDE PEE;PEE;PERSONNEL EXTERIEUR     ;CDE;Commande;
CDE PEX;PEX;* PC Extérieures        ;CDE;Commande;
CDE PGE;PGE;GROS ENTRETIEN PROVISION;CDE;Commande;
CDE PK7;PK7;GRD - Parking           ;CDE;Commande;
CDE PK8;PK8;G-Parking               ;CDE;Commande;
CDE PK9;PK9;9-Parking               ;CDE;Commande;
CDE PKG;PKG;* Parking               ;CDE;Commande;
CDE PMR;PMR;Cdes Service PMR        ;CDE;Commande;
CDE POS;POS;CDE FRAIS POSTAUX       ;CDE;Commande;
CDE PP7;PP7;GRD - Ent.logement      ;CDE;Commande;
CDE PP8;PP8;G-Ent.logement          ;CDE;Commande;
CDE PP9;PP9;9-Ent.logement          ;CDE;Commande;
CDE PPR;PPR;Pubs;Relations publiques;CDE;Commande
CDE PPV;PPV;* Entretien Logement    ;CDE;Commande;
CDE PRI;PRI;PROJET INFORMATIQUE     ;CDE;Commande;
CDE PRO;PRO;PROJET HORS DEMOL       ;CDE;Commande;
CDE PSI;PSI;Petit Sinistre          ;CDE;Commande;
CDE PUB;PUB;Publicité; publications ;CDE;Commande
CDE QCI;QCI;Qualité Contrôle interne;CDE;Commande;
CDE RE7;RE7;GRD- REL                ;CDE;Commande;
CDE RE8;RE8;G-REL                   ;CDE;Commande;
CDE RE9;RE9;9-REL                   ;CDE;Commande;
CDE REC;REC;Missions et Réceptions  ;CDE;Commande;
CDE RED;RED;cde non convent tva 5;5%;CDE;Commande
CDE REL;REL;Remise en état logements;CDE;Commande;
CDE REP;REP;MGEN ent/répar Véhicule ;CDE;Commande;
CDE RES;RES;RH Restaurant Entreprise;CDE;Commande;
